Name,Publisher,Total_shipped,Total_sales,Date
RollerCoaster Tycoon 3,Atari,10.00m,N/A,26th Oct 04
Star Wars Jedi: Fallen Order,Electronic Arts,10.00m,N/A,15th Nov 19
Tekken 7,Bandai Namco Entertainment,10.00m,N/A,18th Mar 15
The Last of Us Part II    Read the review,Sony Interactive Entertainment,10.00m,N/A,19th Jun 20
The Settlers,Blue Byte,10.00m,N/A,30th Jun 93
The Sims 3,Electronic Arts,10.00m,N/A,02nd Jun 09
Titanfall,Electronic Arts,10.00m,N/A,11th Mar 14
Tom Clancy's Ghost Recon Wildlands,Ubisoft,10.00m,N/A,07th Mar 17
Tom Clancy's Rainbow Six Siege,Ubisoft,10.00m,N/A,01st Dec 15
Tom Clancy's The Division,Ubisoft,10.00m,N/A,08th Mar 16
Tom Clancy's The Division 2,Ubisoft,10.00m,N/A,15th Mar 19
Valheim,Coffee Stain Publishing,10.00m,N/A,02nd Feb 21
Watch Dogs,Ubisoft,10.00m,N/A,27th May 14
Watch Dogs 2,Ubisoft,10.00m,N/A,15th Nov 16
Halo: Reach    Read the review,Microsoft Game Studios,N/A,9.97m,14th Sep 10
Portal,Valve Corporation,9.97m,N/A,09th Apr 08
Halo 4    Read the review,Microsoft Studios,N/A,9.96m,06th Nov 12
The Binding of Isaac,Edmund McMillen,9.93m,N/A,28th Sep 11
Final Fantasy VII,Sony Computer Entertainment,9.90m,N/A,03rd Sep 97
Mario Kart 64,Nintendo,9.87m,N/A,10th Feb 97
Ace Attorney,Capcom,9.80m,N/A,12th Oct 05
Ghost of Tsushima,Sony Interactive Entertainment,9.73m,N/A,17th Jul 20
Dead or Alive,Tecmo,9.70m,N/A,31st Mar 98
Super Smash Bros. for 3DS    Read the review,Nintendo,9.64m,N/A,03rd Oct 14
Final Fantasy VIII,Square,9.60m,N/A,09th Sep 99
Street Fighter IV,Capcom,9.60m,N/A,17th Feb 09
Carnival Games,Global Star Software,9.50m,N/A,27th Aug 07
Call of Duty 4: Modern Warfare,Activision,N/A,9.41m,05th Nov 07
Mario Party Superstars    Read the review,Nintendo,9.38m,N/A,29th Oct 21
Gran Turismo 2,Sony Computer Entertainment,9.37m,N/A,17th Jan 99
Wii Party,Nintendo,9.35m,N/A,03rd Oct 10
Call of Duty: Black Ops IIII,Activision,N/A,9.32m,12th Oct 18
Mario Party DS,Nintendo,9.31m,N/A,19th Nov 07
Donkey Kong Country,Nintendo,9.30m,N/A,21st Nov 94
Half-Life,Sierra Entertainment,9.30m,N/A,19th Nov 98
Uncharted 3: Drake's Deception    Read the review,Sony Computer Entertainment,9.30m,N/A,01st Nov 11
NieR,Square Enix,9.20m,N/A,23rd Apr 10
FIFA 19,Electronic Arts,N/A,9.15m,28th Sep 18
Pokémon: Ultra Sun and Ultra Moon,Nintendo,9.12m,N/A,17th Nov 17
Super Mario 3D All-Stars    Read the review,Nintendo,9.07m,N/A,18th Sep 20
Rust,Facepunch Studios,9.02m,N/A,08th Feb 18
Assassin's Creed II,Ubisoft,9.00m,N/A,17th Nov 09
Battlefield: Bad Company 2,Electronic Arts,9.00m,N/A,02nd Mar 10
Harry Potter and the Chamber of Secrets,Electronic Arts,9.00m,N/A,15th Nov 02
Payday,Daybreak Games,9.00m,N/A,18th Oct 11
Silent Hill,Konami,9.00m,N/A,23rd Feb 99
Star Wars Battlefront II (2017),Electronic Arts,9.00m,N/A,17th Nov 17
The Experience,Ubisoft,9.00m,N/A,06th Nov 10
Ninja Gaiden,Tecmo,8.96m,N/A,01st Oct 88
Need for Speed: Undercover,Electronic Arts,8.90m,N/A,18th Nov 08
The Elder Scrolls V: Skyrim,Bethesda Softworks,N/A,8.88m,11th Nov 11
Xeno,Square,8.85m,N/A,20th Oct 98
Mario Party 8,Nintendo,8.85m,N/A,29th May 07
Megami Tensei,Atlus,8.80m,N/A,12th Oct 04
Monster Hunter Generations,Capcom,8.80m,N/A,15th Jul 16
Super Mario Kart,Nintendo,8.76m,N/A,01st Sep 92
Grand Theft Auto V,Rockstar Games,N/A,8.72m,18th Nov 14
Naruto Shippuden: Ultimate Ninja Storm 4,Bandai Namco Entertainment,8.70m,N/A,09th Feb 16
The Legend of Zelda: Twilight Princess,Nintendo,8.69m,N/A,11th Dec 06
Nintendo Switch Sports    Read the review,Nintendo,8.61m,N/A,29th Apr 22
Final Fantasy VIII,Square EA,8.60m,N/A,07th Sep 99
Final Fantasy X,Square,8.60m,N/A,17th Dec 01
Monument Valley,Ustwo Games,8.59m,N/A,03rd Apr 14
Pokémon Black 2 and White 2    Read the review,Nintendo,8.52m,N/A,07th Oct 12
NBA 2K17,2K Sports,8.50m,N/A,20th Sep 16
Onimusha,Capcom,8.50m,N/A,13th Mar 01
Call of Duty: Infinite Warfare,Activision,N/A,8.48m,04th Nov 16
Fallout 4,Bethesda Softworks,N/A,8.48m,10th Nov 15
Mario Kart 8    Read the review,Nintendo,8.46m,N/A,30th May 14
Tekken 3,Namco,8.36m,N/A,29th Apr 98
Monster Hunter 4,Capcom,8.30m,N/A,13th Feb 15
FIFA 16,EA Sports,N/A,8.22m,22nd Sep 15
Lego Star Wars II: The Original Trilogy,LucasArts,8.20m,N/A,12th Sep 06
The Last of Us    Read the review,Sony Computer Entertainment America,8.15m,N/A,14th Jun 13
GoldenEye 007,Nintendo,8.09m,N/A,25th Aug 97
Star Wars Battlefront (2015)    Read the review,Electronic Arts,N/A,8.03m,17th Nov 15
FIFA 13,EA Sports,N/A,8.01m,25th Sep 12
Assassin's Creed,Ubisoft,8.00m,N/A,13th Nov 07
Cars,THQ,8.00m,N/A,06th Jun 06
Cuphead,Studio MDHR,8.00m,N/A,29th Sep 17
Detroit: Become Human,Sony Interactive Entertainment,8.00m,N/A,25th May 18
Dragon Ball FighterZ,Bandai Namco Entertainment,8.00m,N/A,26th Jan 18
Dragon Ball Xenoverse 2,Bandai Namco Entertainment,8.00m,N/A,25th Oct 16
Ghost of Tsushima    Read the review,Sony Interactive Entertainment,8.00m,N/A,17th Jul 20
Grand Theft Auto: Liberty City Stories,Rockstar Games,8.00m,N/A,24th Oct 05
Guitar Hero III: Legends of Rock,Activision,8.00m,N/A,28th Oct 07
Halo 2,Microsoft Game Studios,8.00m,N/A,09th Nov 04
Harry Potter and the Sorcerer's Stone,Electronic Arts,8.00m,N/A,15th Nov 01
Inazuma Eleven,Level 5,8.00m,N/A,22nd Aug 08
Kinect Sports,Microsoft Game Studios,8.00m,N/A,09th Oct 10
Moto Racer,Electronic Arts,8.00m,N/A,03rd Sep 97
NBA 2K16,2K Sports,8.00m,N/A,29th Sep 15
Romance of the Three Kingdoms,KOEI,8.00m,N/A,10th Dec 85
Samurai Warriors,KOEI,8.00m,N/A,06th May 04
Sid Meier's Civilization V    Read the review,2K Games,8.00m,N/A,21st Sep 10
Unreal,GT Interactive,8.00m,N/A,22nd May 98
The Sims 3    Read the review,Electronic Arts,N/A,7.96m,02nd Jun 09
Super Mario Maker 2,Nintendo,7.89m,N/A,28th Jun 19
FIFA 09,EA Sports,7.80m,N/A,15th Oct 08
Grand Theft Auto: Liberty City Stories,Rockstar Games,N/A,7.72m,25th Oct 05
Final Fantasy XII,Square Enix,7.71m,N/A,31st Oct 06
Final Fantasy XIII,Square Enix,7.71m,N/A,09th Mar 10
Monster Hunter Rise    Read the review,Capcom,7.70m,N/A,26th Mar 21
Pac-Man,Atari,7.70m,N/A,01st Mar 82
Cyberpunk 2077,CD Projekt Red Studio,7.67m,N/A,19th Nov 20
Magicka,Paradox Interactive,7.66m,N/A,25th Jan 11
God of War III    Read the review,Sony Computer Entertainment,7.60m,N/A,16th Mar 10
Pokémon Platinum Version,Nintendo,7.60m,N/A,22nd Mar 09
The Legend of Zelda: Ocarina of Time,Nintendo,7.60m,N/A,23rd Nov 98
Jurassic Park,Ocean Software,7.57m,N/A,28th Dec 93
Call of Duty: Advanced Warfare,Activision,N/A,7.53m,04th Nov 14
Crysis,Electronic Arts,7.50m,N/A,13th Nov 07
Call of Duty: World at War    Read the review,Activision,N/A,7.50m,10th Nov 08
Baldur's Gate,Interplay Entertainment Corp.,7.47m,N/A,31st Jul 00
Super Mario Bros. 2,Nintendo,7.46m,N/A,01st Oct 88
Super Mario Galaxy 2    Read the review,Nintendo,7.41m,N/A,23rd May 10
Super Smash Bros. Melee,Nintendo,7.41m,N/A,02nd Dec 01
Madden NFL 07,EA Sports,7.40m,N/A,22nd Aug 06
Resident Evil 8: Village,Capcom,7.40m,N/A,07th May 21
Trine,Nobilis,7.39m,N/A,03rd Jul 09
Call of Duty: Black Ops 3,Activision,N/A,7.37m,06th Nov 15
Battlefield 3,Electronic Arts,N/A,7.35m,25th Oct 11
Battlefield V,Electronic Arts,7.30m,N/A,20th Nov 18
The Forest,Endnight Games Ltd,7.30m,N/A,30th Apr 18
Yokai Watch 2: Bony Spirits / Fleshy Souls / Psychic Specters,Nintendo,7.30m,N/A,30th Sep 16
Ark,Studio Wildcard,7.26m,N/A,27th Aug 17
The Legend of Zelda: Twilight Princess    Read the review,Nintendo,7.26m,N/A,19th Nov 06
Battlefield 1,Electronic Arts,N/A,7.26m,21st Oct 16
Battlefield 3,Electronic Arts,N/A,7.21m,25th Oct 11
Oddworld,GT Interactive,7.20m,N/A,19th Sep 97
Need for Speed Underground,Electronic Arts,N/A,7.20m,17th Nov 03
Assassin's Creed: Brotherhood,Ubisoft,7.20m,N/A,16th Nov 10
Call of Duty 3,Activision,7.20m,N/A,07th Nov 06
Dragon's Dogma,Capcom,7.20m,N/A,22nd May 12
WarioWare,Nintendo,7.19m,N/A,26th May 03
The Binding of Isaac,Edmund McMillen,7.17m,N/A,28th Sep 11
Tomb Raider,Eidos Interactive,7.16m,N/A,14th Nov 96
Pokémon Emerald Version,Nintendo,7.06m,N/A,30th Apr 05
Ark: Survival Evolved,Studio Wildcard,7.00m,N/A,29th Aug 17
Assassin's Creed: Revelations,Ubisoft,7.00m,N/A,15th Nov 11
DiRT,Codemasters,7.00m,N/A,19th Jun 07
Grim Dawn,Crate Entertainment,7.00m,N/A,25th Feb 16
Guild Wars 2    Read the review,NCSoft,7.00m,N/A,28th Aug 12
Just Dance 3,Ubisoft,7.00m,N/A,07th Oct 11
King's Quest,Sierra Online,7.00m,N/A,10th May 84
Mafia III,2K Games,7.00m,N/A,07th Oct 16
Mana,Square,7.00m,N/A,01st Nov 91
Metal Gear Solid 2: Sons of Liberty,Konami,7.00m,N/A,12th Nov 01
NBA 2K14,2K Sports,7.00m,N/A,01st Oct 13
NBA 2K15,2K Sports,7.00m,N/A,07th Oct 14
NieR: Automata,Square Enix,7.00m,N/A,07th Mar 17
Nioh,Koei Tecmo,7.00m,N/A,07th Feb 17
Project Gotham Racing,Sega,7.00m,N/A,15th Jan 01
Rise of the Tomb Raider,Square Enix,7.00m,N/A,10th Nov 15
Rugrats,THQ,7.00m,N/A,29th Jun 99
Star Wars: The Force Unleashed,LucasArts,7.00m,N/A,16th Sep 08
Street Fighter V,Capcom,7.00m,N/A,16th Feb 16
The Legend of Heroes: Trails,Xseed Games,7.00m,N/A,29th Mar 11
"Warhammer 40,000: Dawn of War",THQ,7.00m,N/A,20th Sep 04
Zumba Fitness,Majesco,7.00m,N/A,18th Nov 10
The Room,Fireproof Games,6.94m,N/A,01st Sep 12
Need for Speed Underground 2,Electronic Arts,N/A,6.90m,15th Nov 04
Just Dance 4,Ubisoft,N/A,6.89m,09th Oct 12
Mario Kart: Double Dash!!,Nintendo,6.88m,N/A,17th Nov 03
Tomb Raider II,Eidos Interactive,6.85m,N/A,21st Nov 97
Medal of Honor: Frontline,Electronic Arts,N/A,6.83m,28th May 02
Crash Bandicoot,Sony Computer Entertainment,6.82m,N/A,01st Sep 96
Persona 5,Atlus,6.80m,N/A,04th Apr 17
Clubhouse Games,Nintendo,6.79m,N/A,09th Oct 06
Uncharted 2: Among Thieves    Read the review,Sony Computer Entertainment,N/A,6.74m,13th Oct 09
Star Wars: Knights of the Old Republic,LucasArts,6.73m,N/A,15th Jul 03
Call of Duty 4: Modern Warfare,Activision,N/A,6.72m,05th Nov 07
Tomodachi Life,Nintendo,6.71m,N/A,06th Jun 14
Kingdom Hearts III,Square Enix,6.70m,N/A,29th Jan 19
Lego Star Wars: The Video Game,Eidos Interactive,6.70m,N/A,29th Mar 05
Mario Strikers,Nintendo,6.67m,N/A,05th Dec 05
FIFA Soccer 12,EA Sports,N/A,6.65m,27th Sep 11
FIFA 14,EA Sports,N/A,6.61m,24th Sep 13
Fallout 4,Bethesda Softworks,6.60m,N/A,10th Nov 15
Ben 10,D3 Publisher,6.60m,N/A,30th Oct 07
Red Dead Redemption    Read the review,Rockstar Games,N/A,6.57m,11th Oct 11
Donkey Kong Country Returns    Read the review,Nintendo,6.53m,N/A,21st Nov 10
Mario & Sonic at the Olympic Winter Games,Sega,6.53m,N/A,13th Oct 09
The Legend of Zelda,Nintendo,6.51m,N/A,22nd Aug 87
Assassin's Creed III    Read the review,Ubisoft,N/A,6.50m,30th Oct 12
Devil May Cry 5,Capcom,6.50m,N/A,08th Mar 19
Dragon Quest XI,Square Enix,6.50m,N/A,04th Sep 18
Guild Wars,NCSoft,6.50m,N/A,26th Apr 05
Lost Planet,Capcom,6.50m,N/A,12th Jan 07
Madden NFL 06,EA Sports,6.50m,N/A,08th Aug 05
Marvel's Spider-Man: Miles Morales,Sony Interactive Entertainment,6.50m,N/A,12th Nov 20
Red Dead Redemption    Read the review,Rockstar Games,N/A,6.50m,18th May 10
The Elder Scrolls V: Skyrim,Bethesda Softworks,N/A,6.49m,11th Nov 11
Diddy Kong Racing,Nintendo,6.47m,N/A,24th Nov 97
Luigi's Mansion: Dark Moon    Read the review,Nintendo,6.47m,N/A,24th Mar 13
Elite,Imagineer,6.40m,N/A,20th Sep 84
Final Fantasy XII,Square Enix,6.40m,N/A,31st Oct 06
Resident Evil 3 (2020),Capcom,6.40m,N/A,03rd Apr 20
The Legend of Zelda: Ocarina of Time 3D    Read the review,Nintendo,6.40m,N/A,19th Jun 11
Pokémon Crystal Version,Nintendo,6.39m,N/A,29th Jul 01
Hatsune Miku: Project,Sega,6.35m,N/A,09th Apr 12
Minecraft,Sony Computer Entertainment,N/A,6.33m,07th Oct 14
FIFA 15    Read the review,EA Sports,N/A,6.32m,23rd Sep 14
Kingdom Hearts,Square EA,6.30m,N/A,16th Sep 02
Myst,Broderbund,6.30m,N/A,01st Jan 95
Street Fighter II: The World Warrior,Capcom,6.30m,N/A,01st Jul 92
Driver,GT Interactive,N/A,6.27m,30th Jun 99
Call of Duty: WWII,Activision,N/A,6.23m,03rd Nov 17
Pikmin,Nintendo,6.22m,N/A,02nd Dec 01
Big Brain Academy,Nintendo,6.15m,N/A,05th Jun 06
Kirby and the Forgotten Land    Read the review,Nintendo,6.12m,N/A,25th Mar 22
The Legend of Zelda: Link's Awakening    Read the review,Nintendo,6.08m,N/A,20th Sep 19
Minecraft,Sony Computer Entertainment America,N/A,6.05m,16th May 14
Pokémon Snap,Nintendo,6.03m,N/A,30th Jun 99
Borderlands,2K Games,6.00m,N/A,20th Oct 09
Carnival Games,Global Star Software,6.00m,N/A,27th Aug 07
Championship Manager,Domark Software,6.00m,N/A,01st Sep 92
Conflict,Gotham Games,6.00m,N/A,30th Sep 02
Cuphead,Studio MDHR,6.00m,N/A,29th Sep 17
Dead Cells,Motion Twin,6.00m,N/A,07th Aug 18
Dead Space,Electronic Arts,6.00m,N/A,13th Oct 08
Dragon Age: Inquisition,Electronic Arts,6.00m,N/A,18th Nov 14
FIFA 07,Electronic Arts,6.00m,N/A,25th Sep 06
Just Dance,Ubisoft,6.00m,N/A,17th Nov 09
Limbo,Playdead,6.00m,N/A,21st Jul 10
Mass Effect 3,Electronic Arts,6.00m,N/A,06th Mar 12
Metal Gear Solid,Konami,6.00m,N/A,21st Oct 98
Metal Gear Solid,Konami,6.00m,N/A,21st Oct 98
Metal Gear Solid 4: Guns of the Patriots    Read the review,Konami,6.00m,N/A,12th Jun 08
Metal Gear Solid V: The Phantom Pain,Konami,6.00m,N/A,01st Sep 15
Metro Exodus,Deep Silver,6.00m,N/A,15th Feb 19
MotorStorm,Sony Interactive Entertainment,6.00m,N/A,06th Mar 07
NBA Jam,Midway,6.00m,N/A,04th Mar 94
One Piece: Pirate Warriors,Bandai Namco Games,6.00m,N/A,25th Sep 12
Project Gotham Racing,Microsoft,6.00m,N/A,14th Nov 01
Sonic the Hedgehog 2,Sega,6.00m,N/A,20th Nov 92
Star Wars: Battlefront II,LucasArts,6.00m,N/A,01st Nov 05
StarCraft II: Wings of Liberty    Read the review,Blizzard Entertainment,6.00m,N/A,27th Jul 10
Tekken 5,Namco,6.00m,N/A,24th Feb 05
Tom Clancy's Splinter Cell,Ubisoft,6.00m,N/A,17th Nov 02
Euro Truck Simulator 2,SCS Software,5.98m,N/A,16th Jan 13
Atelier,Koei Tecmo,5.98m,N/A,28th Jun 05
Tekken 6,Namco Bandai Games,5.98m,N/A,26th Nov 07
Tomb Raider III,Eidos Interactive,5.94m,N/A,20th Nov 98
Mario Kart: Super Circuit,Nintendo,5.91m,N/A,26th Aug 01
Super Mario Sunshine    Read the review,Nintendo,5.91m,N/A,25th Aug 02
Call of Duty 2,Activision,5.90m,N/A,25th Oct 05
Super Mario 3D World    Read the review,Nintendo,5.88m,N/A,22nd Nov 13
Mario vs. Donkey Kong,Nintendo,5.87m,N/A,24th May 04
Final Fantasy IX,Square,5.83m,N/A,13th Nov 00
Style Savvy,Nintendo,5.83m,N/A,02nd Nov 09
Age of Empires II: HD Edition    Read the review,Microsoft Studios,5.82m,N/A,09th Apr 13
New Super Mario Bros. U    Read the review,Nintendo,5.82m,N/A,18th Nov 12
Deep Rock Galactic,Coffee Stain Publishing,5.81m,N/A,13th May 20
DayZ,Bohemia Interactive,5.80m,N/A,13th Dec 18
Link's Crossbow Training    Read the review,Nintendo,5.79m,N/A,19th Nov 07
Red Dead Redemption 2,Rockstar Games,N/A,5.77m,26th Oct 18
Destiny    Read the review,Activision,N/A,5.76m,09th Sep 14
Tekken 2,Namco,N/A,5.74m,25th Aug 96
Anno,GT Interactive,5.70m,N/A,01st Feb 00
Crash Bandicoot 3: Warped,Sony Computer Entertainment,5.70m,N/A,31st Oct 98
Trials,RedLynx,5.70m,N/A,12th Aug 09
Uncharted: The Nathan Drake Collection,Sony Computer Entertainment,N/A,5.70m,07th Oct 15
Super Mario World: Super Mario Advance 2,Nintendo,5.69m,N/A,09th Feb 02
Dishonored,Bethesda Softworks,5.67m,N/A,09th Oct 12
LEGO Star Wars: The Complete Saga,LucasArts,N/A,5.66m,06th Nov 07
Cooking Mama,Majesco,N/A,5.66m,12th Sep 06
The Legend of Zelda: Ocarina of Time 3D,Nintendo,5.62m,N/A,19th Jun 11
Tetris,Nintendo,5.58m,N/A,01st Nov 89
Super Mario Advance,Nintendo,5.57m,N/A,10th Jun 01
Assassin's Creed II    Read the review,Ubisoft,N/A,5.57m,17th Nov 09
Super Smash Bros.,Nintendo,5.55m,N/A,26th Apr 99
XCOM,Microprose,5.55m,N/A,01st Mar 94
Assassin's Creed    Read the review,Ubisoft,N/A,5.55m,13th Nov 07
Batman: Arkham City    Read the review,Warner Bros. Interactive,N/A,5.54m,18th Oct 11
Forza Motorsport 3,Microsoft Game Studios,N/A,5.50m,27th Oct 09
Arma III,Bohemia Interactive,5.50m,N/A,12th Sep 13
Detroit: Become Human    Read the review,Sony Interactive Entertainment,5.50m,N/A,25th May 18
Dragon Quest IX: Sentinels of the Starry Skies    Read the review,Nintendo,5.50m,N/A,11th Jul 10
Final Fantasy IX,Square,5.50m,N/A,13th Nov 00
Final Fantasy X-2,Square Enix,5.50m,N/A,18th Nov 03
NBA 2K11,2K Sports,5.50m,N/A,05th Oct 10
Saints Row: The Third,THQ,5.50m,N/A,15th Nov 11
Tomb Raider (2013),Square Enix,5.50m,N/A,05th Mar 13
Pokémon Stadium,Nintendo,5.46m,N/A,06th Mar 00
Chrono,Square,5.45m,N/A,11th Aug 95
Donkey Kong Country: Tropical Freeze,Nintendo,5.44m,N/A,21st Feb 14
Minecraft,Microsoft Studios,N/A,5.43m,18th Nov 14
Call of Duty: World at War    Read the review,Activision,N/A,5.43m,10th Nov 08
Super Mario Advance 4: Super Mario Bros. 3,Nintendo,5.43m,N/A,21st Oct 03
Crash Bandicoot: The Wrath of Cortex,Universal Interactive,N/A,5.42m,29th Oct 01
Super Smash Bros. for Wii U,Nintendo,5.38m,N/A,21st Nov 14
Dragon Ball Xenoverse,Bandai Namco Games,5.35m,N/A,24th Feb 15
Final Fantasy XIII    Read the review,Square Enix,N/A,5.35m,09th Mar 10
Gran Turismo 5 Prologue    Read the review,Sony Computer Entertainment,5.35m,N/A,15th Apr 08
Dr. Mario,Nintendo,5.34m,N/A,01st Dec 90
Assassin's Creed III,Ubisoft,N/A,5.31m,30th Oct 12
Pokémon Pinball,Nintendo,5.31m,N/A,31st Jul 99
Assassin's Creed II    Read the review,Ubisoft,N/A,5.30m,17th Nov 09
Heavy Rain,Sony Computer Entertainment,5.30m,N/A,23rd Feb 10
Slime Rancher,Monomi Park,5.30m,N/A,01st Aug 17
The Forest,Endnight Games Ltd,5.30m,N/A,30th May 14
Donkey Kong 64,Nintendo,5.27m,N/A,22nd Nov 99
Tomb Raider II,Eidos Interactive,N/A,5.24m,31st Oct 97
Wolfenstein,Bethesda Softworks,5.24m,N/A,01st Sep 81
Madden NFL 2004,EA Sports,N/A,5.23m,12th Aug 03
Subnautica,Unknown Worlds Entertainment,5.23m,N/A,23rd Jan 18
Subnautica,Unknown Worlds Entertainment,5.23m,N/A,23rd Jan 18
Call of Duty: Advanced Warfare,Activision,N/A,5.22m,04th Nov 14
Fallout: New Vegas,Bethesda Softworks,5.22m,N/A,19th Oct 10
Gran Turismo 6,Sony Computer Entertainment America,5.22m,N/A,06th Dec 13
Nintendo Land    Read the review,Nintendo,5.21m,N/A,18th Nov 12
Devil May Cry 4,Capcom,5.20m,N/A,05th Feb 08
Kingdom Hearts II,Square Enix,5.20m,N/A,28th Mar 06
Super Mario Land 3: Wario Land,Nintendo,5.19m,N/A,09th Feb 94
Donkey Kong Country 2: Diddy's Kong Quest,Nintendo,5.15m,N/A,20th Nov 95
Ridge Racer,Namco,5.13m,N/A,01st Dec 93
Medal of Honor: Rising Sun,Electronic Arts,N/A,5.13m,11th Nov 03
Battlefield 1,Electronic Arts,N/A,5.13m,21st Oct 16
Kirby's Dream Land,Nintendo,5.13m,N/A,01st Aug 92
Microsoft Flight Simulator,Microsoft,N/A,5.12m,31st Oct 96
Guitar Hero II,RedOctane,N/A,5.12m,07th Nov 06
FIFA 13    Read the review,EA Sports,N/A,5.11m,25th Sep 12
Resident Evil 5    Read the review,Capcom,N/A,5.10m,13th Mar 09
Fable III    Read the review,Microsoft Game Studios,N/A,5.10m,26th Oct 10
Guitar Hero World Tour,Activision,5.10m,N/A,26th Oct 08
Mario & Sonic at the Olympic Games,Sega,N/A,5.10m,22nd Jan 08
Monument Valley,Ustwo Games,5.10m,N/A,03rd Apr 14
Resident Evil,Capcom,5.08m,N/A,30th Mar 96
Grand Theft Auto: Vice City Stories,Rockstar Games,N/A,5.08m,31st Oct 06
FIFA Soccer 11    Read the review,EA Sports,N/A,5.08m,28th Sep 10
Super Mario Bros. Deluxe,Nintendo,5.07m,N/A,30th Apr 99
Final Fantasy XV,Square Enix,N/A,5.07m,29th Nov 16
Rhythm Heaven,Nintendo,5.05m,N/A,05th Apr 09
Disgaea,Atlus,5.05m,N/A,27th Aug 03
Resident Evil (2002),Capcom,5.05m,N/A,13th Sep 02
Fallout 4,Bethesda Softworks,N/A,5.03m,10th Nov 15
Tony Hawk's Pro Skater,Activision,N/A,5.02m,31st Aug 99
Warzone 2100,Eidos Interactive,N/A,5.01m,31st May 99
Asterix,Atari,5.00m,N/A,01st Jan 83
Batman: Arkham Knight,Warner Bros. Interactive Entertainment,5.00m,N/A,23rd Jun 15
Chessmaster,Software Country,5.00m,N/A,01st Jan 86
Cities: Skylines,Paradox Interactive,5.00m,N/A,10th Mar 15
Close Combat,Microsoft,5.00m,N/A,01st Jul 96
Danganronpa,NIS America,5.00m,N/A,11th Feb 14
Dead by Daylight,Behaviour Interactive,5.00m,N/A,14th Jun 16
Dead Island,Deep Silver,5.00m,N/A,06th Sep 11
Death Stranding,Sony Interactive Entertainment,5.00m,N/A,08th Nov 19
Diablo II: Resurrected,Blizzard Entertainment,5.00m,N/A,23rd Sep 21
Dying Light 2 Stay Human,Techland,5.00m,N/A,04th Feb 22
Enter the Matrix,Atari,5.00m,N/A,14th May 03
F-Zero,Nintendo,5.00m,N/A,23rd Aug 91
Final Fantasy VII Remake    Read the review,Square Enix,5.00m,N/A,10th Apr 20
Gears of War    Read the review,Microsoft Game Studios,5.00m,N/A,07th Nov 06
Gears of War 2    Read the review,Microsoft Game Studios,5.00m,N/A,07th Nov 08
Guitar Hero II,RedOctane,5.00m,N/A,07th Nov 06
Halo 5: Guardians    Read the review,Microsoft Studios,5.00m,N/A,27th Oct 15
Halo: Combat Evolved,Microsoft,5.00m,N/A,14th Nov 01
Hyrule Warriors,Nintendo,5.00m,N/A,26th Sep 14
Kerbal Space Program,Private Division,5.00m,N/A,27th Apr 15
Kerbal Space Program,Private Division,5.00m,N/A,27th Apr 15
Killing Floor,Tripwire Interactive,5.00m,N/A,14th May 09
L.A. Noire,Rockstar Games,5.00m,N/A,17th May 11
Madden NFL 11,EA Sports,5.00m,N/A,10th Aug 10
Madden NFL 12,EA Sports,5.00m,N/A,30th Aug 11
Madden NFL 2004,EA Sports,5.00m,N/A,12th Aug 03
Medal of Honor (2010),Electronic Arts,5.00m,N/A,12th Oct 10
Monster Hunter Rise: Sunbreak,Capcom,5.00m,N/A,30th Jun 22
Need for Speed: Hot Pursuit (2010),Electronic Arts,5.00m,N/A,16th Nov 10
Peter Jackson's King Kong: The Official Game of the Movie,Ubisoft,5.00m,N/A,17th Nov 05
Sea of Thieves    Read the review,Microsoft Studios,5.00m,N/A,20th Mar 18
Sekiro: Shadows Die Twice,Activision,5.00m,N/A,22nd Mar 19
SimCity 3000,Electronic Arts,5.00m,N/A,15th Mar 98
Slime Rancher,Monomi Park,5.00m,N/A,01st Aug 17
South Park: The Stick of Truth,Ubisoft,5.00m,N/A,04th Mar 14
Tecmo Bowl,Tecmo,5.00m,N/A,01st Dec 87
The Long Dark,Hinterland Studio Inc.,5.00m,N/A,01st Aug 17
The Matrix,Infogrames,5.00m,N/A,14th May 03
Torchlight,Encore,5.00m,N/A,27th Oct 09
Worms,Ocean Software,5.00m,N/A,17th Nov 95
Guitar Hero III: Legends of Rock,RedOctane,N/A,4.98m,28th Oct 07
Uncharted: Drake's Fortune    Read the review,Sony Computer Entertainment,N/A,4.97m,16th Nov 07
Dark Souls,Namco Bandai Games,4.96m,N/A,04th Oct 11
Resident Evil 2,Capcom,4.96m,N/A,21st Jan 98
Fallout 3    Read the review,Bethesda Softworks,N/A,4.96m,28th Oct 08
Darksiders,THQ,4.95m,N/A,05th Jan 10
Resident Evil Zero,Capcom,4.95m,N/A,12th Nov 02
Splatoon    Read the review,Nintendo,4.95m,N/A,29th May 15
Madden NFL 06,EA Sports,N/A,4.91m,08th Aug 05
Dragon Quest VIII: Journey of the Cursed King,Square Enix,4.90m,N/A,15th Nov 05
Dragon's Dogma: Dark Arisen,Capcom,4.90m,N/A,23rd Apr 13
Monster Hunter Freedom 3,Capcom,4.90m,N/A,01st Dec 10
Diddy Kong Racing,Nintendo,4.88m,N/A,24th Nov 97
Pokémon Mystery Dungeon: Explorers of Time / Darkness,Nintendo,4.88m,N/A,20th Apr 08
Yoshi,Nintendo,4.87m,N/A,01st Jun 92
