Name,Publisher,Total_shipped,Total_sales,Date
Wii Party,Nintendo,11.14m,N/A,03rd Oct 10
Grand Theft Auto IV    Read the review,Rockstar Games,N/A,11.09m,29th Apr 08
Big Brain Academy,Nintendo,11.08m,N/A,05th Jun 06
Super Mario 64 DS,Nintendo,11.06m,N/A,20th Nov 04
Super Mario 64 DS,Nintendo,11.06m,N/A,20th Nov 04
BioShock Infinite,2K Games,11.00m,N/A,26th Mar 13
Civilization VI,2K Games,11.00m,N/A,21st Oct 16
Dance Dance Revolution,Konami,11.00m,N/A,26th Sep 98
Fall Guys: Ultimate Knockout,Devolver Digital,11.00m,N/A,04th Aug 20
God of War: Ragnarök,Sony Interactive Entertainment,11.00m,N/A,09th Nov 22
Lego Batman: The Videogame,Warner Bros. Interactive Entertainment,11.00m,N/A,23rd Sep 08
Mortal Kombat X,Warner Bros. Interactive Entertainment,11.00m,N/A,07th Apr 15
NBA 2K21,2K Sports,11.00m,N/A,04th Sep 20
Need for Speed: Underground 2,Electronic Arts,11.00m,N/A,09th Nov 04
Sniper: Ghost Warrior,City Interactive,11.00m,N/A,16th Oct 08
StarCraft,Blizzard Entertainment,11.00m,N/A,01st Apr 98
Tomb Raider (2013),Square Enix,11.00m,N/A,05th Mar 13
FIFA 17,Electronic Arts,N/A,10.94m,27th Sep 16
Resident Evil 6,Capcom,10.90m,N/A,02nd Oct 12
Need for Speed: ProStreet,Electronic Arts,10.90m,N/A,14th Nov 07
Gran Turismo,Sony Computer Entertainment,10.85m,N/A,30th Apr 98
Super Mario 3D World + Bowser's Fury    Read the review,Nintendo,10.82m,N/A,12th Feb 21
Call of Duty: Modern Warfare 2    Read the review,Activision,N/A,10.61m,10th Nov 09
Grand Theft Auto IV    Read the review,Rockstar Games,N/A,10.57m,29th Apr 08
Super Mario All-Stars,Nintendo,10.55m,N/A,01st Aug 93
Rocket League,Psyonix,10.50m,N/A,07th Jul 15
Rocket League,Psyonix,10.50m,N/A,07th Jul 15
Tomodachi,Nintendo,10.47m,N/A,06th Jun 14
Call of Duty: Ghosts,Activision,N/A,10.41m,05th Nov 13
Star Fox,Nintendo,10.28m,N/A,26th Mar 93
Nobunaga's Ambition,KOEI,10.20m,N/A,01st Mar 83
Call of Duty: Ghosts,Activision,N/A,10.13m,05th Nov 13
Splatoon 3    Read the review,Nintendo,10.13m,N/A,09th Sep 22
SaGa,Square Enix,10.10m,N/A,30th Sep 90
Assassin's Creed Odyssey,Ubisoft,10.00m,N/A,05th Oct 18
Assassin's Creed Origins,Ubisoft,10.00m,N/A,27th Oct 17
Assassin's Creed Unity,Ubisoft,10.00m,N/A,11th Nov 14
Broken Sword,Virgin Interactive,10.00m,N/A,30th Sep 96
Buzz!,Sony Interactive Entertainment,10.00m,N/A,21st Oct 05
Crash Bandicoot N. Sane Trilogy,Activision,10.00m,N/A,30th Jun 17
