Name,Platform,Publisher,Global Sales,Date de sortie
Sniper: Ghost Warrior,Series,City Interactive,11.00,2008.0
StarCraft,All,Blizzard Entertainment,11.00,1998.0
Tomb Raider (2013),All,Square Enix,11.00,2013.0
FIFA 17,Playstation,Electronic Arts,,2016.0
Resident Evil 6,All,Capcom,10.90,2012.0
Need for Speed: ProStreet,All,Electronic Arts,10.90,2007.0
Gran Turismo,Playstation,Sony Computer Entertainment,10.85,1998.0
Super Mario 3D World + Bowser's Fury    Read the review,NS,Nintendo,10.82,2021.0
Call of Duty: Modern Warfare 2    Read the review,Playstation,Activision,,2009.0
Grand Theft Auto IV    Read the review,Playstation,Rockstar Games,,2008.0
Super Mario All-Stars,Nintendo,Nintendo,10.55,1993.0
Rocket League,Series,Psyonix,10.50,2015.0
Rocket League,All,Psyonix,10.50,2015.0
Tomodachi,Series,Nintendo,10.47,2014.0
Call of Duty: Ghosts,Xbox,Activision,,2013.0
Star Fox,Series,Nintendo,10.28,1993.0
Nobunaga's Ambition,Series,KOEI,10.20,1983.0
Call of Duty: Ghosts,Playstation,Activision,,2013.0
Splatoon 3    Read the review,NS,Nintendo,10.13,2022.0
SaGa,Series,Square Enix,10.10,1990.0
Assassin's Creed Odyssey,PC,Ubisoft,10.00,2018.0
Assassin's Creed Origins,Wii,Ubisoft,10.00,2017.0
Assassin's Creed Unity,Wii,Ubisoft,10.00,2014.0
Broken Sword,Playstation,Virgin Interactive,10.00,1996.0
Buzz!,Playstation,Sony Interactive Entertainment,10.00,2005.0
Crash Bandicoot N. Sane Trilogy,Series,Activision,10.00,2017.0
Dark Souls III,Series,Bandai Namco Entertainment,10.00,2016.0
Far Cry 3,Series,Ubisoft,10.00,2012.0
Far Cry 4,Series,Ubisoft,10.00,2014.0
Far Cry 5,Series,Ubisoft,10.00,2018.0
FIFA 10,Series,EA Sports,10.00,2009.0
FIFA 12,All,EA Sports,10.00,2011.0
Final Fantasy XV,All,Square Enix,10.00,2016.0
Horizon: Zero Dawn,All,Sony Interactive Entertainment,10.00,2017.0
It Takes Two,All,Electronic Arts,10.00,2021.0
Just Dance 2    Read the review,All,Ubisoft,10.00,2010.0
Just Dance 3,All,Ubisoft,10.00,2011.0
Killing Floor,All,Tripwire Interactive,10.00,2009.0
Marvel vs. Capcom,All,Capcom,10.00,1996.0
Monster Hunter World: Iceborne,All,Capcom,10.00,2019.0
MX vs. ATV,All,THQ Nordic,10.00,2001.0
NBA 2K18,All,2K Sports,10.00,2017.0
NBA 2K22,All,2K Sports,10.00,2021.0
Pitfall,All,Activision,10.00,1982.0
RollerCoaster Tycoon 3,All,Atari,10.00,2004.0
Star Wars Jedi: Fallen Order,All,Electronic Arts,10.00,2019.0
Tekken 7,All,Bandai Namco Entertainment,10.00,2015.0
The Last of Us Part II    Read the review,All,Sony Interactive Entertainment,10.00,2020.0
The Settlers,All,Blue Byte,10.00,1993.0
The Sims 3,All,Electronic Arts,10.00,2009.0
Titanfall,All,Electronic Arts,10.00,2014.0
Tom Clancy's Ghost Recon Wildlands,All,Ubisoft,10.00,2017.0
Tom Clancy's Rainbow Six Siege,All,Ubisoft,10.00,2015.0
Tom Clancy's The Division,PC,Ubisoft,10.00,2016.0
Tom Clancy's The Division 2,All,Ubisoft,10.00,2019.0
Valheim,Series,Coffee Stain Publishing,10.00,2021.0
Watch Dogs,All,Ubisoft,10.00,2014.0
Watch Dogs 2,All,Ubisoft,10.00,2016.0
Halo: Reach    Read the review,Xbox,Microsoft Game Studios,,2010.0
Portal,PC,Valve Corporation,9.97,2008.0
Halo 4    Read the review,Xbox,Microsoft Studios,,2012.0
The Binding of Isaac,Series,Edmund McMillen,9.93,2011.0
Final Fantasy VII,Playstation,Sony Computer Entertainment,9.90,1997.0
Mario Kart 64,Nintendo,Nintendo,9.87,1997.0
Ace Attorney,Series,Capcom,9.80,2005.0
Ghost of Tsushima,All,Sony Interactive Entertainment,9.73,2020.0
Dead or Alive,Series,Tecmo,9.70,1998.0
Super Smash Bros. for 3DS    Read the review,Series,Nintendo,9.64,2014.0
Final Fantasy VIII,DS,Square,9.60,1999.0
Street Fighter IV,All,Capcom,9.60,2009.0
Carnival Games,All,Global Star Software,9.50,2007.0
Call of Duty 4: Modern Warfare,Series,Activision,,2007.0
Mario Party Superstars    Read the review,Xbox,Nintendo,9.38,2021.0
Gran Turismo 2,NS,Sony Computer Entertainment,9.37,1999.0
Wii Party,Playstation,Nintendo,9.35,2010.0
Call of Duty: Black Ops IIII,Wii,Activision,,2018.0
Mario Party DS,Playstation,Nintendo,9.31,2007.0
Donkey Kong Country,DS,Nintendo,9.30,1994.0
Half-Life,Nintendo,Sierra Entertainment,9.30,1998.0
Uncharted 3: Drake's Deception    Read the review,PC,Sony Computer Entertainment,9.30,2011.0
NieR,Playstation,Square Enix,9.20,2010.0
