Name,Platform,Test_MC,Players_MC
ALAN WAKE: THE SIGNAL,XBOX,75.0,7.0
ALAN WAKE: THE WRITER,XBOX,80.0,7.3
ALBA: A WILDLIFE ADVENTURE,PC,79.0,8.3
ALBA: A WILDLIFE ADVENTURE,SWITCH,80.0,7.8
ALBINO LULLABY: EPISODE 1,PC,64.0,
ALBION ONLINE,PC,72.0,5.3
ALDER'S BLOOD,SWITCH,74.0,7.4
ALEKHINE'S GUN,PC,,
ALEKHINE'S GUN,PLAYSTATION,,
ALEX KIDD IN MIRACLE WORLD DX,PC,67.0,7.0
ALEX KIDD IN MIRACLE WORLD DX,PLAYSTATION,60.0,6.5
ALEX KIDD IN MIRACLE WORLD DX,SWITCH,65.0,6.4
ALEX RIDER: STORMBREAKER,DS,,6.0
ALEXANDER,PC,56.0,8.4
ALFRED HITCHCOCK PRESENTS THE FINAL CUT,PC,50.0,6.6
ALFRED HITCHCOCK: VERTIGO,PC,61.0,7.7
ALFRED HITCHCOCK: VERTIGO,PLAYSTATION,64.0,7.8
ALIAS,PC,55.0,6.8
ALIAS,PLAYSTATION,64.0,7.7
ALIAS,XBOX,64.0,6.0
ALICE: MADNESS RETURNS,PC,75.0,8.4
ALICE: MADNESS RETURNS,PLAYSTATION,70.0,8.2
ALICE: MADNESS RETURNS,XBOX,70.0,8.3
ALIEN BLAST: THE ENCOUNTER,PC,,
ALIEN BREED,PLAYSTATION,66.66666666666667,6.5
ALIEN BREED 2: ASSAULT,XBOX,67.0,5.4
ALIEN BREED 3: DESCENT,PC,64.0,
ALIEN BREED 3: DESCENT,PLAYSTATION,64.0,5.1
ALIEN BREED 3: DESCENT,XBOX,68.0,6.7
ALIEN BREED: EVOLUTION,XBOX,69.0,8.0
ALIEN BREED: IMPACT,PC,64.0,6.0
ALIEN BREED: IMPACT,PLAYSTATION,71.0,6.3
ALIEN FRONT ONLINE,AUTRE,76.0,7.7
ALIEN HAVOC,PLAYSTATION,53.0,
ALIEN HOMINID,AUTRE,78.0,8.3
ALIEN HOMINID,PLAYSTATION,78.0,8.4
ALIEN HOMINID HD,XBOX,79.0,7.6
ALIEN RAGE,PC,52.0,6.6
ALIEN RAGE,XBOX,,7.6
ALIEN RESURRECTION,PLAYSTATION,61.0,7.5
ALIEN SHOOTER: VENGEANCE,PC,67.0,7.8
ALIEN SPIDY,XBOX,55.0,
ALIEN SWARM,PC,77.0,8.1
ALIEN SYNDROME,PLAYSTATION,51.0,6.4
ALIEN SYNDROME,WII,,7.3
ALIEN: ISOLATION,PC,81.0,8.5
ALIEN: ISOLATION,PLAYSTATION,79.0,8.4
ALIEN: ISOLATION,SWITCH,83.0,8.5
ALIEN: ISOLATION,XBOX,78.0,8.3
